level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
4,country,Australia,7904.39168,4055.27513,5479.38163,4054.91785,4762.56626,11678.76178,5629.7247,7762.47235,5528.85672,1847.15636,14190.96375,7825.43032,14246.20768,6338.89137,39611.69333,-28294.65356,26313.84745,41479.5786,46905.66861,31893.08917,36795.51625,58931.59409,59574.38437,56765.52363,58506.70657,29580.2688,48402.10822,46115.76075,67568.88014,38535.78745,14161.59413,23854.7382,63365.66634,29873.94955
4,country,Israel,137.12,49.56,303.868,471.85,475.199,1576.598,1616.775,1990.376,1966.699,4187.194,6957.443,1771.719,1582.835,3322.393,2947.35,4818.272,14395.879,8798.282,10274.699,4607.028,6984.909,8653.401,9017.54,11842.324,6049.105,11336.502,11988.255,16892.825,21514.605,17362.681,20968.888,18950.1,23031.45,16422.43
4,country,Japan,1806.03901,1284.26882,2755.60398,210.43544,888.38447,41.46307,228.08355,3224.61836,3192.5763,12741.33635,8322.73929,6241.59583,9239.34826,6323.97764,7815.41782,2775.75804,-6505.84356,22548.85099,24425.12215,11938.34141,-1251.81049,-1758.33448,1731.53195,2303.71822,12029.78823,2975.52794,19358.83601,9355.58724,9962.72084,13755.37321,11768.22608,34294.02016,34194.42283,21433.36482
4,country,New Zealand,1684.76315,1691.36607,1088.20007,2211.82269,2616.6307,2849.96194,3918.61704,1917.45679,1825.77278,941.46411,1346.56884,-250.13137,1751.92744,-2788.45595,1439.66911,1204.70051,3706.20209,3589.38178,3122.86941,700.86452,-61.62138,4238.00096,3504.00152,1862.46463,2436.79766,-308.93039,2978.70563,2722.73183,2236.27892,4296.13769,3997.25562,4116.56529,7902.6974,3567.84713
4,country,Republic of Korea,1045.6,1455.2,1001.6,832.3,1136.6,2487.1,2782.6,3301.1,5989.2,10726.3,11509.4,6522.3,5475.1,7010,13294.4,13643.2,9161.9,8826.9,11187.5,9021.9,9497.4,9773,9495.9,12766.6,9273.6,4104.1,12104.3,17912.9,12182.6,9634.3,8764.9,22060.4,25044.7,15178.4
4,country,Bermuda,0,0,0,0,0,0,0,34.7,102.7,60.5,66.9,41.8,5.4,12.9,831.6,43.7,261,610.6,78.17,-70.384,230.73,-257.87,47.61,54.9,-3.425,-143.094,82,-288.10927,95.41637,4.9854,112.0496,1.53142,9.92678,156.44
2,region,Developing economies,33608.23089,37876.10717,52579.69311,76275.29045,102174.2576,116735.7203,146305.613,185086.4116,171936.2186,207975.7467,222711.2967,212988.0128,165395.2388,194038.0908,258027.8987,322840.2922,391357.7389,506880.0784,554126.5171,436788.6648,608801.8309,669561.4145,669878.6871,663030.2087,686938.17,739675.0957,674920.4213,700835.6481,701389.2238,704488.95,646982.7884,889964.8906,929551.2686,867416.6771
3,region,Africa,2845.17325,3543.5513,3839.97536,5443.86537,6104.51646,5665.13173,6047.85032,11030.17195,9991.92051,11893.76312,10381.7824,19972.76751,14761.36011,18156.99085,17646.69289,29408.09512,34392.72694,51379.98068,59203.5385,57414.72453,47968.31629,47646.36939,57978.56038,51083.25105,54773.51159,58403.77918,47710.15983,40518.46013,43772.15426,46974.65725,41048.0974,82195.84229,54464.95464,52632.87051
4,region,North Africa,1155.481,914.0838,1595.7831,2411.6939,2277.3567,1228.2149,1468.178,2746.90951,2993.2488,3347.94922,3250.12918,5357.61259,3871.56167,5265.55392,6443.8979,11613.38813,21594.52558,23096.86353,22205.47731,18141.53507,15745.91843,7548.34438,15758.99382,11964.39467,12038.75044,12326.72107,13841.16317,13274.57791,15406.63683,13550.10837,9797.29339,9508.78845,15323.41363,13461.39026
5,country,Algeria,40,80,30,0.001,0.001,0.001,270,260,606.6,291.6,280.1,1113.10554,1064.96,637.85303,884.74903,1145.6177,1888.45621,1743.63093,2632.0478,2754.11889,2301.22592,2580.62641,1499.44685,1696.86675,1506.73344,-584.5392,1636.29924,1232.34192,1474.58907,1381.835,1139.724,869.6996,254.7369,1216.323
5,country,Egypt,734,253,459,1206.5,1133.4,595.2,636.4,886.9,1075.5,1065.3,1235.4,509.9,646.9,237.4,2157.4,5375.6,10042.8,11578.1,9494.6,6711.6,6385.6,-483,6031,4256,4612,6925.2,8106.8,7408.7,8141.3,9010,5851.8,5122,11399.9,9840.6
5,country,Libya,158.911,91.9038,99.0931,58.1529,-72.6243,-88.4861,-111.722,-67.9,-127.894,-128.069,141,-133,145,143,357,1038,2064,3850,3180,3310,1909,0,1425,702,0,0,0,0,0,0,0,0,0,0
5,country,Morocco,165,317,424,491,551,332,322,1204.70951,400.2428,1380.41822,421.96205,2807.06007,480.69071,2314.4684,894.56271,1653.98573,2449.4462,2804.50128,2487.0941,1951.70719,1573.85627,2568.43435,2728.36109,3298.10243,3560.93139,3254.79935,2157.14944,2686.02972,3558.87886,1719.96145,1419.20787,2266.45561,2260.0894,1094.61393
5,country,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,-793,44,0.15,-7.85,1.42,60.14,-231.84,17.5,67.5,121.5,-6.335
5,country,Sudan,-31.13,-0.62,0.09,-0.16,99.18,12,0.4,97.9,370.7,370.8,392.2,574,713.18,1349.19,1511.07,1617.09814,1841.83381,1504.37984,1653.12032,1726.2984,2063.731,1734.37699,2311,1687.88418,1251.28089,1728.3734,1063.76754,1065.29848,1135.78716,825.35499,716.93971,522.9,573.5,548.2
5,country,Tunisia,88.7,172.8,583.6,656.2,566.4,377.5,351.1,365.3,668.1,367.9,779.46713,486.54698,820.83096,583.64249,639.11616,783.08656,3307.98936,1616.25148,2758.61509,1687.81059,1512.50524,1147.90663,1603.18588,1116.54131,1063.80472,1002.73752,884.99695,880.78779,1035.94174,844.79693,652.12181,660.23324,713.68733,767.98833
4,region,Other Africa,1689.69225,2629.4675,2244.19226,3032.17147,3827.15976,4436.91683,4579.67232,8283.26244,6998.67171,8545.8139,7131.65322,14615.15492,10889.79844,12891.43693,11202.79499,17794.70699,12798.20136,28283.11715,36998.06119,39273.18946,32222.39786,40098.02501,42219.56656,39118.85638,42734.76115,46077.05811,33868.99666,27243.88222,28365.51743,33424.54888,31250.80401,72687.05384,39141.54101,39171.48025
5,region,Central Africa,-1.19446,22.21913,161.55542,217.6452,-59.44115,-103.76165,0.63946,-103.29355,723.44671,487.62076,670.41376,1590.95919,2221.34157,2678.57447,1514.44848,2032.25384,1388.32844,5274.00689,4469.28022,5456.98749,7799.22602,5551.94703,5460.73518,5427.23588,5320.02567,9314.92424,7104.09071,9091.67381,8822.41565,9254.03394,8917.23756,6607.10135,7082.99758,5875.11676
6,country,Burundi,1.25543,0.8925,0.60009,0.47368,0.00396,1.98192,0,0,0,-0.57261,11.68325,-0.00229,0,0,0.04469,0.5847,0.03159,0.50024,3.83321,0.3484,0.78058,3.35501,0.60492,7.40717,47.06101,7.36045,0.05546,65.30316,6.66353,30.28971,21.22621,22.37744,25.28599,28.50275
6,country,Cameroon,-112.831,-14.498,29.2038,5.12073,-9.00569,7.29242,101.316,78.3356,215.105,-15.4947,158.801,73.2851,601.746,336.268,86.1221,234.007,16.384,191.017,-24.19802,668.329,-0.551,355.4,739.177,567.239,726.548,694.33673,663.9,814.45894,765.09201,1024.77924,675.18699,963.5315,925.68155,799.20472
6,country,Central African Republic,0.69785,-4.87404,-10.6766,-9.98013,3.60228,6.20057,10.92558,1.49742,7.30059,5.97695,0.88907,5.1839,5.64429,11.3,15.1,10.1,34.67,56.75,117.11,42.28,61.52,36.90846,70.03516,1.85279,3.47501,3,7.25609,6.88875,18.00354,25.60116,1.73736,5.40998,24.04772,38.74245
